                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7515,                 3.6832,                 2.1713,                 0.0183,                 0.8125,                0.23424,                0.09835,                 1.9628,                 2.9821,                 1.4769,              0.0001375,              0.0001375,              0.0001375
                      1,                 1.3962,                 2.4595,                 1.3144,                 0.8402,                  0.181,                0.30058,                0.09586,                 1.7484,                 2.1662,                 1.4007,             0.00028181,             0.00028181,             0.00028181
                      2,                 1.3427,                 1.9584,                 1.2917,                0.91094,                0.22917,                0.36499,                0.21811,                 1.3027,                 1.8045,                 1.2434,             0.00042017,             0.00042017,             0.00042017
                      3,                 1.2755,                  1.725,                 1.2815,                0.40232,                0.43056,                0.41941,                0.23244,                 1.5695,                 1.8043,                 1.4344,              0.0005526,              0.0005526,              0.0005526
                      4,                 1.2424,                 1.5671,                 1.2577,                0.44858,                 0.4775,                0.49862,                 0.2916,                 1.4578,                 1.8039,                 1.3153,             0.00067909,             0.00067909,             0.00067909
                      5,                 1.1957,                 1.3971,                 1.2231,                0.37148,                 0.6088,                0.44695,                 0.2665,                 1.3116,                 1.8159,                 1.2464,             0.00079964,             0.00079964,             0.00079964
                      6,                 1.1791,                 1.3214,                 1.2164,                0.45221,                0.62663,                0.56835,                0.31865,                 1.3193,                 1.4041,                 1.2594,             0.00091425,             0.00091425,             0.00091425
                      7,                 1.1557,                 1.2363,                 1.1726,                0.50172,                0.51498,                0.56336,                0.30085,                 1.4679,                 1.3445,                 1.2901,              0.0010229,              0.0010229,              0.0010229
                      8,                 1.1379,                 1.2152,                 1.1598,                0.44483,                0.72548,                0.41066,                0.22352,                 1.4132,                 1.8711,                 1.3123,               0.001052,               0.001052,               0.001052
                      9,                 1.1195,                 1.1562,                 1.1411,                0.52716,                0.78439,                 0.5555,                 0.3361,                 1.3455,                 1.7752,                 1.2415,               0.001052,               0.001052,               0.001052
                     10,                 1.1351,                 1.1469,                 1.1457,                0.51473,                0.58697,                0.53782,                0.30976,                 1.4172,                 1.6651,                 1.3512,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.1443,                 1.1611,                 1.1334,                0.53488,                0.74769,                0.53841,                 0.3348,                 1.1548,                 1.5152,                 1.2326,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.0883,                  1.111,                 1.1267,                0.53802,                0.59671,                0.56808,                0.35928,                 1.1724,                 1.3582,                 1.1965,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.0794,                 1.0828,                 1.1223,                  0.704,                0.71991,                0.73909,                0.45396,                 1.1878,                 1.1165,                 1.2363,               0.000953,               0.000953,               0.000953
                     14,                  1.063,                 1.0696,                 1.1158,                0.58665,                0.62288,                0.69032,                 0.4491,                 1.2985,                 1.2706,                 1.2158,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.0596,                 1.0086,                 1.0855,                0.57015,                0.84783,                0.80387,                0.48087,                 1.3079,                 1.2542,                 1.2318,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.0457,                 1.0042,                 1.0858,                0.70961,                0.73327,                  0.788,                0.50595,                 1.2452,                  1.225,                 1.1974,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.0313,                0.97353,                 1.0745,                0.80364,                0.64797,                0.76378,                0.49015,                 1.2874,                 1.1945,                 1.2197,               0.000854,               0.000854,               0.000854
                     18,                 1.0555,                 0.9662,                 1.0836,                0.81327,                 0.6412,                0.73063,                0.46363,                  1.303,                  1.208,                 1.2076,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.0474,                0.97928,                 1.0838,                0.85566,                0.66276,                0.74879,                0.44827,                 1.4553,                 1.2764,                 1.2137,              0.0008045,              0.0008045,              0.0008045
                     20,                  1.048,                0.94545,                 1.0774,                0.57911,                0.74268,                0.72323,                 0.4573,                  1.358,                 1.3363,                  1.217,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.0171,                 0.8917,                 1.0678,                0.76213,                0.59755,                0.69339,                0.46505,                 1.2253,                 1.3496,                  1.206,               0.000755,               0.000755,               0.000755
