                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8109,                 4.4625,                 2.5694,                0.00788,                0.11303,                0.01457,                0.00507,                 2.5458,                 4.1058,                 2.2029,               8.33e-05,               8.33e-05,               8.33e-05
                      1,                 2.5593,                 4.3105,                  2.393,                0.01271,                0.15293,                0.02482,                0.00666,                 2.5088,                 4.2789,                 2.3788,             0.00015831,             0.00015831,             0.00015831
                      2,                 2.4342,                 4.0848,                 2.2676,                0.00946,                0.19689,                0.03651,                0.01191,                 2.3694,                 4.1384,                 2.2999,             0.00021591,             0.00021591,             0.00021591
                      3,                 2.3793,                 3.8722,                 2.2367,                0.00972,                0.20199,                0.05518,                0.01808,                 2.2821,                 4.0305,                 2.2906,             0.00025611,             0.00025611,             0.00025611
                      4,                 2.4039,                 3.7841,                 2.2331,                0.00914,                0.24176,                0.03878,                0.01299,                 2.3613,                 3.8742,                 2.2719,             0.00027889,             0.00027889,             0.00027889
                      5,                 2.4221,                 3.6486,                 2.2221,                0.01078,                 0.4185,                0.04299,                0.01273,                 2.6235,                 3.8097,                 2.3964,             0.00028426,             0.00028426,             0.00028426
                      6,                 2.3533,                 3.5625,                 2.1563,                0.78998,                0.04291,                0.05207,                0.01603,                 2.4464,                 3.6094,                 2.2615,             0.00027222,             0.00027222,             0.00027222
                      7,                 2.3338,                 3.4632,                 2.1532,                0.64049,                 0.0764,                0.06682,                0.02308,                 2.2607,                 3.4869,                 2.1243,             0.00024278,             0.00024278,             0.00024278
                      8,                 2.2784,                 3.3686,                 2.1147,                 0.6713,                0.09817,                0.08944,                0.02418,                 2.2181,                 3.4383,                 2.1171,             0.00019592,             0.00019592,             0.00019592
                      9,                 2.2362,                 3.3237,                 2.0982,                0.52305,                0.09158,                0.09195,                0.02842,                 2.2598,                 3.3771,                 2.1338,             0.00012078,             0.00012078,             0.00012078
