                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5567,                 3.6138,                 2.0071,                0.01852,                      1,                0.22834,                0.10056,                 1.4783,                 3.5668,                  2.369,             0.00023839,             0.00023839,             0.00023839
                      1,                 1.3539,                  2.796,                 1.7839,                0.02024,                      1,                0.41788,                0.19794,                 1.4111,                 3.3447,                 2.4272,             0.00047488,             0.00047488,             0.00047488
                      2,                 1.3537,                 2.5442,                  1.768,                0.79733,                0.32127,                0.41374,                0.17277,                 1.6347,                 3.4856,                 2.8009,             0.00070162,             0.00070162,             0.00070162
                      3,                 1.3873,                 2.4594,                  1.782,                0.72891,                0.15625,                0.15861,                0.05543,                 2.8763,                 4.3621,                 3.6771,             0.00072332,             0.00072332,             0.00072332
                      4,                 1.3902,                 2.3226,                 1.7817,                0.66777,                0.55526,                0.68809,                0.30578,                 1.7919,                 3.2952,                 2.5017,             0.00072332,             0.00072332,             0.00072332
                      5,                 1.3434,                 2.2363,                 1.7388,                0.61465,                0.32941,                0.48487,                0.19913,                 1.8092,                 4.9202,                 2.9109,              0.0007081,              0.0007081,              0.0007081
                      6,                 1.3381,                 2.1439,                 1.7214,                0.46956,                0.68208,                 0.6333,                 0.2238,                 1.9235,                 2.6079,                 2.7384,             0.00069287,             0.00069287,             0.00069287
                      7,                 1.3283,                 1.9249,                 1.6962,                0.33941,                0.58621,                0.45415,                0.21687,                 1.5554,                 2.8939,                 2.3713,             0.00067764,             0.00067764,             0.00067764
                      8,                 1.2797,                 1.8798,                 1.6711,                0.64296,                0.59028,                0.69543,                0.33132,                 1.5665,                   2.41,                 2.4251,             0.00066242,             0.00066242,             0.00066242
                      9,                 1.2982,                 1.8638,                 1.6754,                0.69997,                 0.3847,                0.47314,                0.17224,                 2.6019,                 3.1978,                 3.1103,             0.00064719,             0.00064719,             0.00064719
                     10,                 1.2287,                 1.7131,                  1.615,                0.46495,                0.49138,                0.56725,                0.23451,                 1.9141,                 2.7604,                 2.5169,             0.00063196,             0.00063196,             0.00063196
